date,type,category,amount,description
2026-01-05,expense,食費,3500,スーパーでの買い物
2026-01-06,expense,交通費,1200,電車代
2026-01-07,expense,食費,1800,ランチ
2026-01-08,expense,日用品,2500,ドラッグストア
2026-01-10,expense,娯楽費,3000,映画
2026-01-12,expense,食費,4200,外食
2026-01-15,expense,光熱費,8500,電気代
2026-01-15,expense,光熱費,3200,ガス代
2026-01-18,expense,通信費,5000,携帯電話
2026-01-20,expense,食費,5500,スーパー週末買い出し
2026-01-22,expense,交通費,800,バス代
2026-01-25,income,給与,280000,1月給与
2026-01-25,expense,住居費,75000,家賃
2026-01-28,expense,食費,2800,コンビニ
2026-01-30,expense,医療費,1500,薬局
